headline,date,time,view,like,share,comment,category,tag
เหตุผลที่โซลชาร์คือ ‘คนที่ใช่’ ของปีศาจแดง กับงานใหญ่ที่ไม่สามารถทำได้เพียงลำพัง,29.03.2019,,518K,,Loading...,,"Sport,เมธา พันธุ์วราทร","เมธา พันธุ์วราทร,Ole Gunnar Solskjaer"
ทำงานหนักจนไม่มีเวลาสร้าง ‘สุข’ มาสร้าง Standard ใหม่ของการใช้ชีวิตที่ 101 The Third Place [Advertorial],29.03.2019,,"1,312K",,Loading...,,"Thailand,Living","Advertorial,101 The Third Place"
Netflix ถูกยกให้เป็นแบรนด์สหรัฐอเมริกาที่โตเร็วที่สุดในช่วงปีที่ผ่านมาด้วยอัตราการเติบโต 105%,29.03.2019,,153K,,Loading...,,Tech,"Netflix,Brand Finance"
The River King ศูนย์กลางการเรียนรู้และสร้างสรรค์แรงบันดาลใจ แหล่งรวมไลฟ์สไตล์คอนเทนต์ที่ยิ่งใหญ่และกลมกล่อมที่สุดของเมืองไทย [Advertorial],29.03.2019,,"3,228K",,Loading...,,Thailand,"Advertorial,The River King,จักรพงษ์ จักราจุฑาธิบดิ์"
แฮร์รี เคน รับพระราชทานเครื่องราชอิสริยาภรณ์ MBE หลังสร้างชื่อเสียงให้กับอังกฤษในฟุตบอลโลก 2018,29.03.2019,,36K,,Loading...,,Sport,"Harry Kane,MBE"
จาซินดา อาร์เดิร์น นำพิธีรำลึกเหยื่อไครสต์เชิร์ช เรียกร้องทั่วโลกร่วมหยุดกระแสแนวคิดสุดโต่ง,29.03.2019,,90K,,Loading...,,World,"New Zealand,Christchurch,Jacinda Ardern,เหตุกราดยิงในไครสต์เชิร์ช"
เลขาธิการ กกต. เผยกฎหมายไม่เปิดช่องให้นับคะแนนใหม่ทั้งประเทศ ตัวเลขผู้มีสิทธิเพิ่ม เพราะบางส่วนคีย์เข้าแอปฯ ไม่ได้,29.03.2019,,908K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส.,จรุงวิทย์ ภุมมา"
ประชาธิปัตย์ถกเครียด ‘ร่วมรัฐบาลหรือเป็นฝ่ายค้าน’ อภิสิทธิ์ประกาศไม่หวนคืนตำแหน่งหัวหน้าพรรค,29.03.2019,,802K,,Loading...,,"Thailand,Politics","อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,อลงกรณ์ พลบุตร,พายุ เนื่องจำนงค์"
ไอติมประกาศจุดยืน ‘ฝ่ายค้านอิสระ’ เรียกร้องหัวหน้าประชาธิปัตย์คนใหม่ เพื่อความสง่างามและความอยู่รอดของพรรค,29.03.2019,,488K,,Loading...,,"Thailand,Politics","พรรคประชาธิปัตย์,พริษฐ์ วัชรสินธุ,New Dem"
สุดารัตน์ชี้ ‘บัตรเขย่ง’ คือกลไกซื้อเสียง จี้ กกต. หาเหตุผลใหม่ที่ดีกว่านี้,29.03.2019,,712K,,Loading...,,,
